lvl_1,lvl_2,lvl_3
1,5,
1,5,
1,5,
1,5,
1,61,
1,61,
1,5,
1,46,
1,11,4
1,,
1,,
1,21,
1,21,
1,21,
1,21,
1,11,4
1,1,
1,21,
1,63,
1,11,4
1,6,
1,19,1
1,5,
1,41,
1,11,4
1,11,1
1,11,4
1,11,4
1,1,
1,11,4
1,11,4
1,1,
1,11,4
1,2,
1,1,
1,11,4
1,61,
1,11,4
1,6,
1,6,
1,6,
1,6,
1,11,4
1,19,9
1,2,
1,61,
1,6,
1,21,
1,21,
1,11,4
1,2,
1,2,
1,11,4
1,11,4
1,11,4
1,61,
1,1,
1,61,
1,11,4
1,1,
1,2,
1,2,
1,11,4
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,46,
1,13,1
1,1,
1,2,
1,11,4
1,2,
1,2,
1,2,
1,21,
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,11,4
1,5,
1,2,
1,11,4
1,2,
1,11,4
1,2,
1,2,
1,2,
1,11,4
1,11,4
1,11,4
1,2,
1,11,4
1,11,4
1,2,
1,11,4
1,2,
1,11,1
1,11,4
1,2,
1,2,
1,2,
1,2,
1,2,
1,11,4
1,11,4
1,19,1
1,2,
1,2,
1,1,
1,2,
1,11,4
1,1,
1,11,4
1,1,
1,11,4
1,11,4
1,2,
1,21,
1,11,4
1,19,9
1,11,4
1,2,
1,19,1
1,11,4
1,2,
1,11,4
1,2,
1,2,
1,11,4
1,5,
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,11,1
1,6,
1,2,
1,11,4
1,2,
1,11,4
1,2,
1,2,
1,5,
1,2,
1,2,
1,2,
1,11,4
1,1,
1,2,
1,11,4
1,11,4
1,21,
1,2,
1,1,
1,2,
1,11,4
1,2,
1,2,
1,1,
1,2,
1,1,
1,2,
1,2,
1,2,
1,2,
1,11,4
1,2,
1,2,
1,11,1
1,11,4
1,1,
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,1,
1,1,
1,19,2
1,5,
1,11,4
1,13,1
1,1,
1,11,4
1,11,4
1,2,
1,11,4
1,2,
1,2,
1,2,
1,2,
1,11,4
1,11,4
1,41,
1,1,
1,11,4
1,11,4
1,2,
1,2,
1,11,4
1,11,4
1,2,
1,11,4
1,21,
1,11,4
1,11,4
1,11,4
1,11,4
1,13,1
1,47,
1,2,
1,11,4
1,2,
1,6,
1,2,
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,5,
1,2,
1,2,
1,2,
1,11,4
1,11,4
1,5,
1,19,1
1,19,1
1,11,4
1,11,4
1,13,3
1,2,
1,11,4
1,2,
1,11,4
1,5,
1,5,
1,6,
1,62,9
1,1,
1,2,
1,13,1
1,1,
1,43,
1,11,4
1,1,
1,2,
1,13,
1,2,
1,11,4
1,11,4
1,2,
1,6,
1,2,
1,4,
1,21,
1,21,
1,21,
1,21,
1,47,
1,11,4
1,11,4
1,,
1,11,4
1,11,4
1,2,
1,5,
1,11,4
1,11,4
1,11,4
1,11,4
1,1,
1,,
1,5,
1,6,
1,2,
1,2,
1,2,
1,61,
1,61,
1,19,9
1,11,4
1,11,4
1,1,
1,5,
1,5,
1,5,
1,24,
1,11,4
1,61,
1,6,
1,11,4
1,6,
1,5,
1,2,
1,2,
1,11,4
1,11,4
1,61,
1,2,
1,47,
1,47,
1,43,
1,1,
1,5,
1,49,1
1,13,1
1,21,
1,11,4
1,2,
1,2,
1,2,
1,1,
1,11,4
1,6,
1,1,
1,21,
1,1,
1,11,4
1,2,
1,2,
1,21,
1,11,4
1,2,
1,2,
1,11,4
1,11,4
1,1,
1,13,
1,46,
1,2,
1,21,
1,13,2
1,2,
1,61,
1,11,4
1,2,
1,11,4
1,11,4
1,11,1
1,21,
1,11,4
1,19,9
1,1,
1,11,4
1,11,4
1,62,9
1,5,
1,2,
1,2,
1,2,
1,5,
1,1,
1,61,
1,11,4
1,2,
1,11,4
1,11,4
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,11,4
1,11,4
1,5,
1,19,1
1,3,
1,11,1
1,11,1
1,2,
1,11,4
1,13,1
1,11,4
1,,
1,4,
1,13,1
1,24,
1,1,
1,11,1
1,11,4
1,46,
1,11,4
1,2,
1,24,
1,11,1
1,5,
1,6,
1,47,
1,1,
1,11,4
1,13,2
1,19,9
1,63,
1,63,
1,4,
1,4,
1,6,
1,11,4
1,1,
1,1,
1,11,4
1,11,1
1,2,
1,11,4
1,2,
1,2,
1,1,
1,2,
1,5,
1,2,
1,2,
1,11,4
1,11,4
1,2,
1,2,
1,11,4
1,2,
1,2,
1,2,
1,11,4
1,2,
1,5,
1,2,
1,2,
1,2,
1,2,
1,11,4
1,2,
1,11,4
1,2,
1,11,4
1,2,
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,2,
1,11,4
1,2,
1,11,4
1,11,4
1,2,
1,13,3
1,2,
1,19,9
1,2,
1,11,4
1,13,1
1,11,4
1,11,4
1,11,4
1,2,
1,2,
1,5,
1,2,
1,11,4
1,19,9
1,11,4
1,11,4
1,2,
1,1,
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,2,
1,11,4
1,6,
1,2,
1,2,
1,11,4
1,19,9
1,2,
1,2,
1,11,4
1,2,
1,11,4
1,41,
1,11,4
1,2,
1,2,
1,11,4
1,11,4
1,2,
1,2,
1,11,4
1,2,
1,11,4
1,11,4
1,2,
1,11,4
1,6,
1,11,4
1,2,
1,13,
1,11,4
1,2,
1,11,4
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,21,
1,2,
1,11,4
1,11,4
1,11,4
1,2,
1,11,4
1,2,
1,21,
1,11,4
1,11,4
1,2,
1,2,
1,5,
1,11,4
1,11,4
1,21,
1,11,1
1,2,
1,11,4
1,11,4
1,11,4
1,13,
1,2,
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,2,
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,11,4
1,2,
1,11,4
1,21,
1,11,4
1,11,4
