AREA TERRITORIALE,2005,2006,2007,2008,2009,2010,2011,2012,2013
CENTRO URBANO,17059,17271,17599,17968,18236,18478,18697,18790,18622
RAVENNA SUD,16986,17430,17900,18326,18544,18748,18918,19010,18913
DARSENA,8031,8285,8399,8516,8652,8768,8948,9080,9135
SANT 'ALBERTO,1583,1600,1627,1658,1701,1702,1726,1740,1714
MEZZANO,3353,3366,3453,3533,3589,3684,3733,3768,3788
PIANGIPANE,2492,2607,2715,2812,2845,2911,2919,2931,2937
RONCALCECI,1396,1469,1528,1560,1558,1592,1611,1625,1615
SAN PIETRO IN VINCOLI,3934,4049,4145,4249,4312,4431,4531,4582,4584
CASTIGLIONE,3247,3381,3482,3584,3681,3773,3794,3814,3786
DEL MARE,8529,8568,8736,8944,8966,8991,9044,9058,8778
