Territorio,Rito,Time,Value
Ravenna,religioso,2020,143
Ravenna,civile,2020,585
Ravenna,tutte le voci,2020,728
Alfonsine,religioso,2020,2
Alfonsine,civile,2020,15
Alfonsine,tutte le voci,2020,17
Bagnacavallo,religioso,2020,10
Bagnacavallo,civile,2020,23
Bagnacavallo,tutte le voci,2020,33
Bagnara di Romagna,religioso,2020,1
Bagnara di Romagna,civile,2020,7
Bagnara di Romagna,tutte le voci,2020,8
Bagno di Romagna,religioso,2020,4
Bagno di Romagna,civile,2020,3
Bagno di Romagna,tutte le voci,2020,7
Faenza,religioso,2020,29
Faenza,civile,2020,71
Faenza,tutte le voci,2020,100
Lugo,religioso,2020,18
Lugo,civile,2020,51
Lugo,tutte le voci,2020,69
