DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/8/2021,26,22,32,18,64,20,17,39,0,1005,0,0,pioggia temporale 
2/8/2021,26,21,31,16,56,19,17,28,0,1011,0,0,
3/8/2021,24,15,32,14,56,18,12,28,0,1013,0,0,
4/8/2021,25,20,30,17,64,19,11,22,0,1011,0,0,
5/8/2021,26,21,31,17,58,22,23,41,0,1006,0,0,pioggia temporale 
6/8/2021,26,22,29,18,63,18,14,21,0,1007,0,0,
7/8/2021,26,19,31,19,65,20,14,30,0,1008,0,0,
8/8/2021,29,24,34,17,50,21,14,28,0,1010,0,0,
9/8/2021,27,20,32,19,64,21,12,22,0,1016,0,0,
10/8/2021,25,19,30,19,72,22,9,17,0,1016,0,0,
11/8/2021,26,19,32,19,68,20,8,17,0,1016,0,0,
12/8/2021,26,19,31,21,76,19,9,18,0,1018,0,0,
13/8/2021,27,21,32,20,71,19,7,15,0,1020,0,0,
14/8/2021,27,20,33,20,69,19,9,21,0,1018,0,0,
15/8/2021,28,21,33,21,70,21,8,15,0,1014,0,0,
16/8/2021,29,23,35,19,57,19,12,24,0,1008,0,0,
17/8/2021,25,22,29,19,71,18,13,18,0,1009,0,0,
18/8/2021,24,19,27,17,68,20,9,15,0,1014,0,0,
19/8/2021,23,16,28,16,64,18,10,18,0,1014,0,0,
20/8/2021,24,18,28,16,66,19,9,18,0,1015,0,0,
21/8/2021,24,16,30,17,68,20,10,18,0,1017,0,0,
22/8/2021,27,18,31,19,65,22,10,24,0,1015,0,0,
23/8/2021,24,21,27,21,84,17,14,28,0,1014,0,0,pioggia temporale 
24/8/2021,23,18,27,18,74,19,12,18,0,1015,0,0,
25/8/2021,22,18,25,16,70,20,11,18,0,1014,0,0,
26/8/2021,21,14,27,16,75,19,11,18,0,1010,0,0,
27/8/2021,21,18,23,18,86,19,17,26,0,1009,0,0,pioggia 
28/8/2021,19,16,24,15,80,21,11,18,0,1011,0,0,pioggia 
29/8/2021,20,15,24,13,67,19,14,22,0,1012,0,0,pioggia temporale 
30/8/2021,20,11,27,12,67,20,9,28,0,1012,0,0,
31/8/2021,20,15,25,16,82,18,14,33,0,1016,0,0,pioggia temporale 
