DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/4/2021,15,7,22,8,67,17,8,13,0,1017,0,0,
2/4/2021,16,7,23,8,63,20,9,17,0,1012,0,0,
3/4/2021,13,7,16,8,77,21,19,37,0,1011,0,0,
4/4/2021,10,4,12,3,66,17,21,37,0,1017,0,0,
5/4/2021,8,0,15,5,80,21,12,28,0,1013,0,0,
6/4/2021,8,4,12,5,85,15,15,46,0,1004,0,0,pioggia 
7/4/2021,4,1,8,2,78,20,14,35,0,1014,0,0,pioggia 
8/4/2021,8,0,14,1,52,18,11,18,0,1024,0,0,
9/4/2021,9,1,15,5,75,21,11,26,0,1026,0,0,
10/4/2021,11,5,16,7,79,20,7,13,0,1022,0,0,
11/4/2021,13,10,18,10,83,20,16,30,0,1018,0,0,pioggia 
12/4/2021,14,12,19,12,86,13,10,22,0,1015,0,0,pioggia 
13/4/2021,8,6,12,6,87,15,20,41,0,1018,0,0,pioggia 
14/4/2021,8,3,13,3,72,21,11,17,0,1023,0,0,
15/4/2021,7,1,11,3,77,19,11,26,0,1021,0,0,
16/4/2021,8,1,13,2,70,21,10,21,0,1019,0,0,
17/4/2021,8,2,13,3,70,18,10,18,0,1016,0,0,
18/4/2021,9,5,13,5,78,21,10,18,0,1015,0,0,
19/4/2021,10,4,15,5,76,19,9,18,0,1015,0,0,
20/4/2021,12,5,18,7,70,19,10,21,0,1015,0,0,
21/4/2021,12,4,17,8,77,20,11,22,0,1017,0,0,
22/4/2021,13,9,17,11,87,19,10,18,0,1018,0,0,
23/4/2021,11,5,17,8,81,20,7,15,0,1022,0,0,
24/4/2021,12,5,19,6,70,19,8,17,0,1022,0,0,
25/4/2021,14,5,20,7,66,20,9,17,0,1016,0,0,
26/4/2021,14,9,17,12,89,21,7,13,0,1013,0,0,pioggia 
27/4/2021,13,12,14,11,91,20,9,13,0,1009,0,0,pioggia 
28/4/2021,14,12,16,11,87,18,8,13,0,1009,0,0,
29/4/2021,16,10,21,13,80,21,7,13,0,1009,0,0,nebbia 
30/4/2021,16,10,21,13,80,20,10,26,0,1010,0,0,
