DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/12/2021,6,0,13,5,81,21,7,13,0,1011,0,0,
2/12/2021,5,4,10,3,87,9,10,13,0,1000,0,0,pioggia 
3/12/2021,6,3,7,4,85,14,12,18,0,1009,0,0,pioggia 
4/12/2021,5,1,9,4,82,23,8,15,0,1010,0,0,
5/12/2021,5,2,7,3,84,11,9,21,0,1003,0,0,
6/12/2021,3,0,8,2,85,19,16,24,0,1007,0,0,pioggia 
7/12/2021,1,-1,7,2,85,20,9,17,0,1012,0,0,
8/12/2021,3,-3,10,3,85,21,13,35,0,1004,0,0,pioggia 
9/12/2021,4,2,5,2,84,17,13,18,0,1001,0,0,pioggia 
10/12/2021,6,3,8,3,84,20,10,17,0,1002,0,0,pioggia 
11/12/2021,5,3,8,3,83,17,23,31,0,1007,0,0,
12/12/2021,3,0,9,0,81,19,8,15,0,1021,0,0,
13/12/2021,5,0,10,2,75,22,7,9,0,1024,0,0,
14/12/2021,3,-1,9,2,88,22,6,11,0,1026,0,0,
15/12/2021,4,0,10,4,86,21,9,13,0,1029,0,0,
16/12/2021,4,2,8,3,85,11,14,21,0,1030,0,0,
17/12/2021,5,1,10,4,84,18,12,18,0,1031,0,0,
18/12/2021,-1,-3,0,0,85,1,9,15,0,1032,0,0,nebbia 
19/12/2021,2,-3,8,3,85,9,8,11,0,1023,0,0,nebbia 
20/12/2021,3,-2,10,3,85,9,7,13,0,1017,0,0,nebbia 
21/12/2021,4,1,6,3,88,4,8,11,0,1022,0,0,nebbia 
22/12/2021,6,4,7,3,83,18,16,21,0,1025,0,0,
23/12/2021,5,3,6,3,88,8,7,11,0,1023,0,0,
24/12/2021,6,5,6,3,85,5,4,9,0,1013,0,0,
25/12/2021,5,4,6,3,88,2,8,15,0,1009,0,0,pioggia 
26/12/2021,5,4,6,3,86,2,6,9,0,1008,0,0,pioggia 
27/12/2021,7,6,9,5,86,4,5,9,0,1009,0,0,pioggia nebbia 
28/12/2021,7,6,8,5,85,4,6,11,0,1009,0,0,pioggia nebbia 
29/12/2021,6,5,7,3,82,2,6,9,0,1010,0,0,nebbia 
30/12/2021,5,4,6,2,84,1,9,11,0,1019,0,0,nebbia 
31/12/2021,3,0,5,2,84,1,5,9,0,1025,0,0,nebbia 
