DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/2/2021,6,4,8,4,86,12,6,13,0,1000,0,0,pioggia 
2/2/2021,6,3,10,4,84,13,8,13,0,1011,0,0,nebbia 
3/2/2021,6,3,8,4,85,3,6,15,0,1014,0,0,nebbia 
4/2/2021,7,5,10,5,85,2,6,11,0,1017,0,0,nebbia 
5/2/2021,7,3,8,4,82,1,5,9,0,1018,0,0,nebbia 
6/2/2021,8,7,10,5,83,2,4,8,0,1014,0,0,nebbia 
7/2/2021,9,7,12,7,83,8,8,15,0,999,0,0,nebbia 
8/2/2021,11,6,15,5,71,19,16,31,0,995,0,0,
9/2/2021,11,8,12,9,87,17,11,18,0,1000,0,0,pioggia 
10/2/2021,11,7,14,8,85,20,11,17,0,999,0,0,pioggia 
11/2/2021,8,5,11,5,82,18,15,30,0,1011,0,0,
12/2/2021,4,3,7,2,77,20,21,30,0,1023,0,0,pioggia 
13/2/2021,1,0,2,1,65,16,20,28,0,1028,0,0,pioggia neve 
14/2/2021,2,-2,6,0,52,20,20,30,0,1036,0,0,
15/2/2021,3,-4,9,0,59,22,8,13,0,1037,0,0,
16/2/2021,5,-1,10,3,77,23,9,13,0,1027,0,0,
17/2/2021,7,2,10,4,84,16,8,15,0,1022,0,0,
18/2/2021,7,3,11,5,87,6,6,9,0,1023,0,0,nebbia 
19/2/2021,8,3,17,5,79,13,8,17,0,1024,0,0,nebbia 
20/2/2021,8,3,14,6,86,12,6,11,0,1025,0,0,nebbia 
21/2/2021,6,2,11,4,86,1,7,11,0,1027,0,0,nebbia 
22/2/2021,8,4,11,6,88,3,7,13,0,1031,0,0,nebbia 
23/2/2021,7,2,13,6,87,2,6,17,0,1035,0,0,nebbia 
24/2/2021,10,3,19,4,71,14,11,22,0,1034,0,0,
25/2/2021,10,4,18,5,73,22,9,17,0,1031,0,0,
26/2/2021,9,3,17,5,79,20,8,13,0,1027,0,0,
27/2/2021,8,2,13,5,80,19,11,28,0,1024,0,0,
28/2/2021,7,2,11,2,71,20,12,24,0,1031,0,0,
