DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/1/2021,7,3,10,4,85,19,11,26,0,1009,0,0,pioggia 
2/1/2021,7,4,11,5,85,10,10,17,0,1006,0,0,pioggia 
3/1/2021,8,5,13,5,82,20,8,17,0,1008,0,0,
4/1/2021,4,1,6,3,88,4,5,9,0,1010,0,0,nebbia 
5/1/2021,5,3,8,3,85,9,6,15,0,1008,0,0,pioggia nebbia 
6/1/2021,4,0,8,2,79,19,8,30,0,1010,0,0,
7/1/2021,2,0,6,2,84,9,5,8,0,1014,0,0,nebbia 
8/1/2021,3,1,6,1,83,9,13,22,0,1014,0,0,nebbia 
9/1/2021,2,1,3,1,80,21,16,22,0,1017,0,0,
10/1/2021,3,2,5,1,87,12,15,18,0,1016,0,0,pioggia 
11/1/2021,2,0,3,1,84,20,16,22,0,1018,0,0,
12/1/2021,3,0,8,1,78,21,9,22,0,1016,0,0,
13/1/2021,1,-3,6,1,87,20,7,15,0,1014,0,0,
14/1/2021,,,,,,,,,,,,,
15/1/2021,4,0,8,3,81,17,7,15,0,1016,0,0,
16/1/2021,2,-2,7,0,78,19,9,15,0,1021,0,0,
17/1/2021,1,-1,3,1,88,13,7,17,0,1016,0,0,pioggia neve 
18/1/2021,2,0,6,2,86,6,10,18,0,1023,0,0,
19/1/2021,0,-4,6,1,86,3,6,11,0,1024,0,0,nebbia 
20/1/2021,2,-2,6,2,85,2,6,11,0,1021,0,0,nebbia 
21/1/2021,2,1,4,1,84,1,6,11,0,1016,0,0,pioggia nebbia 
22/1/2021,9,2,15,6,81,12,15,30,0,1002,0,0,pioggia 
23/1/2021,9,5,11,5,75,19,14,22,0,995,0,0,pioggia 
24/1/2021,5,3,8,4,83,12,14,28,0,998,0,0,pioggia 
25/1/2021,4,0,7,3,81,18,12,24,0,1001,0,0,pioggia 
26/1/2021,3,-2,10,0,68,19,13,22,0,1014,0,0,
27/1/2021,2,-2,7,0,71,18,8,15,0,1017,0,0,
28/1/2021,2,-2,7,2,81,21,5,9,0,1014,0,0,
29/1/2021,3,-1,7,2,88,11,7,15,0,1006,0,0,
30/1/2021,6,-1,15,7,80,13,9,15,0,1001,0,0,
31/1/2021,8,6,11,5,86,12,18,28,0,996,0,0,pioggia 
