DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/6/2021,18,10,23,11,69,20,14,30,0,1017,0,0,
2/6/2021,19,11,24,13,71,18,9,18,0,1018,0,0,
3/6/2021,21,13,26,15,70,21,12,22,0,1022,0,0,
4/6/2021,21,15,26,16,74,19,8,18,0,1022,0,0,
5/6/2021,23,17,27,16,68,20,12,21,0,1019,0,0,
6/6/2021,21,18,25,19,88,18,10,18,0,1016,0,0,pioggia temporale 
7/6/2021,20,17,24,18,88,22,8,15,0,1016,0,0,pioggia temporale 
8/6/2021,20,16,25,17,84,17,11,17,0,1017,0,0,
9/6/2021,22,16,27,16,71,18,9,21,0,1017,0,0,
10/6/2021,22,15,26,16,74,20,9,17,0,1016,0,0,pioggia 
11/6/2021,21,15,26,16,75,20,9,13,0,1016,0,0,
12/6/2021,23,15,28,16,66,20,9,15,0,1017,0,0,
13/6/2021,24,18,30,19,73,20,12,22,0,1016,0,0,
14/6/2021,23,19,25,18,73,22,21,39,0,1017,0,0,
15/6/2021,22,18,26,15,63,19,14,21,0,1018,0,0,
16/6/2021,22,16,27,18,81,18,9,17,0,1016,0,0,
17/6/2021,24,17,28,18,71,19,9,21,0,1016,0,0,
18/6/2021,25,20,30,19,73,21,9,18,0,1016,0,0,
19/6/2021,25,19,31,18,67,19,8,15,0,1015,0,0,
20/6/2021,26,20,31,20,73,20,8,13,0,1012,0,0,
21/6/2021,27,20,33,20,65,21,10,24,0,1008,0,0,
22/6/2021,26,22,30,22,78,17,11,22,0,1010,0,0,
23/6/2021,26,19,30,19,69,21,11,21,0,1013,0,0,
24/6/2021,26,21,30,20,71,20,10,21,0,1014,0,0,
25/6/2021,25,18,31,15,57,18,12,24,0,1014,0,0,
26/6/2021,23,16,29,16,66,19,9,21,0,1015,0,0,
27/6/2021,24,16,29,19,76,20,12,37,0,1014,0,0,
28/6/2021,25,18,29,21,77,17,13,26,0,1014,0,0,
29/6/2021,27,20,32,19,64,20,12,24,0,1011,0,0,
30/6/2021,26,20,32,14,51,20,19,31,0,1010,0,0,
