DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/7/2021,26,21,31,17,62,20,16,24,0,1011,0,0,
2/7/2021,23,18,27,18,74,20,12,18,0,1013,0,0,
3/7/2021,24,18,29,19,74,21,10,22,0,1013,0,0,
4/7/2021,24,20,28,20,77,20,11,22,0,1010,0,0,pioggia 
5/7/2021,24,18,29,18,73,19,11,17,0,1010,0,0,
6/7/2021,25,17,29,20,76,20,11,21,0,1012,0,0,
7/7/2021,27,20,32,20,68,20,11,24,0,1012,0,0,
8/7/2021,27,21,34,20,70,20,11,33,0,1014,0,0,
9/7/2021,25,17,30,16,61,21,11,22,0,1016,0,0,
10/7/2021,24,17,29,18,68,21,11,17,0,1014,0,0,
11/7/2021,25,19,30,19,71,19,9,18,0,1011,0,0,
12/7/2021,26,19,30,20,74,18,12,26,0,1011,0,0,
13/7/2021,24,20,31,20,80,20,11,65,0,1007,0,0,pioggia temporale 
14/7/2021,24,20,28,14,55,17,17,30,0,1011,0,0,
15/7/2021,22,15,26,16,69,18,9,18,0,1012,0,0,
16/7/2021,20,19,22,18,87,20,10,17,0,1012,0,0,pioggia 
17/7/2021,22,18,27,19,82,20,17,24,0,1010,0,0,pioggia 
18/7/2021,24,20,28,19,77,19,14,21,0,1009,0,0,
19/7/2021,25,21,29,19,72,20,10,15,0,1011,0,0,
20/7/2021,25,19,30,18,65,22,12,22,0,1013,0,0,
21/7/2021,25,19,29,21,80,18,12,22,0,1016,0,0,
22/7/2021,25,19,29,19,75,20,14,28,0,1016,0,0,
23/7/2021,25,19,29,20,78,20,11,21,0,1014,0,0,
24/7/2021,26,20,31,21,78,20,9,22,0,1011,0,0,
25/7/2021,27,22,33,19,64,20,10,22,0,1009,0,0,pioggia temporale 
26/7/2021,26,22,34,20,71,22,9,21,0,1011,0,0,
27/7/2021,26,23,31,22,81,20,10,22,0,1014,0,0,pioggia 
28/7/2021,26,20,30,21,76,20,10,18,0,1013,0,0,
29/7/2021,26,20,30,21,74,20,11,24,0,1013,0,0,
30/7/2021,26,18,32,17,60,22,8,15,0,1010,0,0,
31/7/2021,27,21,32,20,67,21,12,26,0,1008,0,0,
