DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/5/2021,16,13,18,14,88,8,9,17,0,1008,0,0,pioggia nebbia 
2/5/2021,17,14,20,8,54,19,26,39,0,1010,0,0,
3/5/2021,13,8,18,10,81,20,10,15,0,1019,0,0,
4/5/2021,14,7,21,9,73,23,9,17,0,1016,0,0,
5/5/2021,17,11,22,9,62,22,19,37,0,1009,0,0,
6/5/2021,19,14,23,9,53,21,19,31,0,1011,0,0,
7/5/2021,19,12,23,12,67,21,21,41,0,1009,0,0,
8/5/2021,16,13,18,11,74,19,14,21,0,1019,0,0,
9/5/2021,15,8,20,10,76,22,11,22,0,1019,0,0,
10/5/2021,17,11,23,14,81,18,11,26,0,1016,0,0,
11/5/2021,17,12,20,14,84,19,8,18,0,1011,0,0,pioggia 
12/5/2021,17,14,20,11,67,17,18,28,0,1008,0,0,pioggia 
13/5/2021,16,10,22,9,65,21,14,26,0,1005,0,0,
14/5/2021,16,9,22,10,72,21,9,18,0,1008,0,0,pioggia 
15/5/2021,16,11,20,11,73,20,13,30,0,1010,0,0,pioggia 
16/5/2021,18,14,21,13,73,20,9,22,0,1008,0,0,
17/5/2021,17,13,21,13,77,22,16,35,0,1006,0,0,pioggia temporale 
18/5/2021,16,8,24,9,70,20,12,18,0,1012,0,0,
19/5/2021,16,13,17,10,69,17,13,21,0,1013,0,0,pioggia 
20/5/2021,16,8,21,9,67,20,11,17,0,1017,0,0,
21/5/2021,18,10,25,8,57,21,9,15,0,1017,0,0,
22/5/2021,18,17,22,11,63,19,13,28,0,1013,0,0,
23/5/2021,20,15,26,13,67,18,13,30,0,1013,0,0,
24/5/2021,17,15,18,15,89,20,8,21,0,1015,0,0,pioggia temporale 
25/5/2021,18,12,23,8,57,20,21,46,0,1017,0,0,
26/5/2021,15,9,21,11,76,22,11,21,0,1017,0,0,
27/5/2021,17,11,23,12,74,21,7,15,0,1014,0,0,
28/5/2021,18,12,21,11,65,19,14,22,0,1018,0,0,
29/5/2021,18,12,23,13,76,21,12,24,0,1017,0,0,
30/5/2021,18,13,21,10,62,19,12,28,0,1019,0,0,pioggia 
31/5/2021,17,10,21,10,65,19,9,17,0,1019,0,0,
