DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/3/2021,6,-1,14,2,72,19,9,15,0,1030,0,0,
2/3/2021,7,1,13,4,83,20,8,13,0,1033,0,0,
3/3/2021,8,0,15,3,73,18,8,13,0,1031,0,0,
4/3/2021,9,1,14,5,79,21,8,15,0,1022,0,0,
5/3/2021,11,5,15,7,79,20,10,17,0,1016,0,0,
6/3/2021,7,2,9,4,77,18,20,37,0,1027,0,0,pioggia 
7/3/2021,5,-1,10,1,74,19,8,17,0,1024,0,0,
8/3/2021,6,-1,11,6,89,22,9,22,0,1017,0,0,
9/3/2021,9,4,11,6,85,19,11,18,0,1014,0,0,pioggia 
10/3/2021,7,2,12,3,78,18,10,17,0,1017,0,0,
11/3/2021,9,1,15,4,73,20,4,22,0,1018,0,0,
12/3/2021,13,7,18,6,66,20,11,33,0,1013,0,0,
13/3/2021,10,2,18,4,70,12,12,31,0,1013,0,0,nebbia 
14/3/2021,10,4,14,5,72,18,22,41,0,1007,0,0,pioggia 
15/3/2021,9,2,13,2,63,22,13,24,0,1010,0,0,
16/3/2021,9,4,14,3,56,20,10,21,0,1013,0,0,
17/3/2021,7,0,13,2,64,19,11,17,0,1016,0,0,
18/3/2021,6,1,10,3,77,19,11,33,0,1017,0,0,pioggia temporale 
19/3/2021,5,0,10,1,73,21,11,21,0,1015,0,0,
20/3/2021,6,0,10,2,68,20,17,26,0,1017,0,0,
21/3/2021,6,3,7,1,62,18,18,30,0,1014,0,0,
22/3/2021,7,1,11,2,67,19,10,13,0,1013,0,0,
23/3/2021,8,4,11,1,59,19,15,26,0,1022,0,0,
24/3/2021,7,-1,15,2,61,21,9,18,0,1022,0,0,
25/3/2021,9,1,15,4,75,19,9,18,0,1021,0,0,
26/3/2021,10,2,15,7,85,20,9,18,0,1023,0,0,
27/3/2021,12,6,17,7,72,20,10,21,0,1024,0,0,
28/3/2021,12,7,17,9,80,20,10,17,0,1030,0,0,
29/3/2021,13,4,19,8,75,19,8,17,0,1032,0,0,
30/3/2021,12,5,19,8,79,20,8,13,0,1030,0,0,
31/3/2021,13,6,21,7,71,20,7,15,0,1025,0,0,
