DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/11/2021,12,11,14,10,87,10,17,37,0,1004,0,0,pioggia 
2/11/2021,12,7,17,8,76,20,11,31,0,1003,0,0,
3/11/2021,13,10,15,10,83,19,13,24,0,1003,0,0,pioggia 
4/11/2021,12,8,17,6,70,18,12,35,0,1005,0,0,
5/11/2021,9,6,13,6,84,17,12,18,0,1017,0,0,
6/11/2021,9,8,12,7,83,18,13,21,0,1023,0,0,
7/11/2021,10,7,11,8,88,18,9,17,0,1019,0,0,pioggia 
8/11/2021,10,9,10,7,86,6,14,15,0,1017,0,0,pioggia 
9/11/2021,10,9,10,7,84,17,14,18,0,1024,0,0,
10/11/2021,11,10,13,9,86,17,9,15,0,1026,0,0,
11/11/2021,11,8,15,9,86,22,9,13,0,1024,0,0,
12/11/2021,9,7,15,7,84,7,4,9,0,1019,0,0,nebbia 
13/11/2021,8,5,11,5,85,1,6,13,0,1017,0,0,nebbia 
14/11/2021,12,10,15,9,84,7,9,26,0,1014,0,0,nebbia 
15/11/2021,14,12,15,12,89,19,20,35,0,1017,0,0,pioggia 
16/11/2021,10,8,11,7,87,4,15,21,0,1019,0,0,pioggia 
17/11/2021,10,9,11,7,84,4,14,21,0,1019,0,0,pioggia 
18/11/2021,11,10,12,8,84,4,10,15,0,1025,0,0,
19/11/2021,9,7,12,6,85,3,9,15,0,1028,0,0,nebbia 
20/11/2021,8,7,9,6,85,2,7,9,0,1024,0,0,
21/11/2021,7,6,8,5,87,3,7,13,0,1013,0,0,nebbia 
22/11/2021,9,7,9,6,86,2,15,18,0,1012,0,0,pioggia nebbia 
23/11/2021,9,6,12,7,84,17,10,15,0,1021,0,0,
24/11/2021,7,4,10,5,83,21,9,18,0,1021,0,0,
25/11/2021,6,5,8,4,87,12,15,22,0,1011,0,0,pioggia 
26/11/2021,6,5,10,4,86,15,11,18,0,997,0,0,pioggia 
27/11/2021,9,5,14,5,78,21,8,18,0,994,0,0,
28/11/2021,7,2,13,4,82,19,12,24,0,993,0,0,pioggia 
29/11/2021,5,1,7,3,87,20,16,26,0,1001,0,0,pioggia 
30/11/2021,5,-1,11,0,64,18,10,17,0,1015,0,0,
