DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/10/2021,17,13,21,13,80,16,8,11,0,1023,0,0,
2/10/2021,17,11,21,13,78,20,10,17,0,1019,0,0,
3/10/2021,18,12,25,15,82,18,10,26,0,1017,0,0,
4/10/2021,21,14,26,17,79,21,16,28,0,1016,0,0,
5/10/2021,20,17,24,14,70,20,14,21,0,1013,0,0,pioggia 
6/10/2021,17,13,24,13,82,16,10,17,0,1012,0,0,pioggia temporale 
7/10/2021,14,13,15,11,85,19,26,37,0,1013,0,0,pioggia 
8/10/2021,16,14,17,11,75,23,24,31,0,1018,0,0,pioggia 
9/10/2021,14,12,15,10,75,18,17,24,0,1021,0,0,pioggia 
10/10/2021,12,8,15,8,78,20,13,17,0,1020,0,0,
11/10/2021,13,10,16,9,79,21,18,28,0,1018,0,0,
12/10/2021,11,7,17,8,82,22,8,15,0,1016,0,0,
13/10/2021,10,7,16,8,86,18,8,17,0,1016,0,0,
14/10/2021,8,5,15,4,82,19,9,11,0,1023,0,0,
15/10/2021,10,4,16,6,79,21,12,21,0,1019,0,0,
16/10/2021,12,8,18,7,75,22,13,22,0,1018,0,0,
17/10/2021,10,7,17,7,85,17,11,17,0,1020,0,0,
18/10/2021,11,6,18,8,82,21,7,9,0,1024,0,0,
19/10/2021,12,5,17,8,81,22,6,13,0,1027,0,0,
20/10/2021,13,7,20,9,79,20,8,13,0,1024,0,0,
21/10/2021,16,11,20,12,76,24,11,26,0,1016,0,0,
22/10/2021,14,12,16,12,87,8,6,13,0,1015,0,0,pioggia 
23/10/2021,13,10,16,11,87,3,7,15,0,1022,0,0,nebbia 
24/10/2021,12,9,15,8,81,12,8,11,0,1026,0,0,nebbia 
25/10/2021,10,6,15,7,80,21,10,13,0,1023,0,0,
26/10/2021,12,11,13,9,82,20,7,11,0,1022,0,0,
27/10/2021,13,9,17,9,76,20,10,21,0,1025,0,0,
28/10/2021,10,7,16,7,84,20,9,13,0,1022,0,0,
29/10/2021,10,3,15,7,80,8,7,11,0,1019,0,0,nebbia 
30/10/2021,10,7,15,7,84,11,6,11,0,1018,0,0,
31/10/2021,12,10,14,10,87,5,8,13,0,1017,0,0,
