DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/9/2021,21,15,25,17,79,18,10,13,0,1020,0,0,
2/9/2021,20,15,25,14,72,18,9,17,0,1023,0,0,
3/9/2021,20,13,25,13,66,20,10,17,0,1019,0,0,
4/9/2021,20,14,25,15,75,18,7,17,0,1015,0,0,
5/9/2021,21,16,25,15,69,22,10,15,0,1017,0,0,
6/9/2021,22,15,26,15,69,19,12,15,0,1021,0,0,
7/9/2021,21,14,26,14,68,21,11,15,0,1021,0,0,
8/9/2021,20,14,26,15,73,20,10,17,0,1019,0,0,
9/9/2021,21,13,26,15,72,19,11,18,0,1017,0,0,
10/9/2021,21,14,25,17,78,20,10,18,0,1016,0,0,
11/9/2021,21,15,26,17,79,21,8,13,0,1016,0,0,
12/9/2021,20,14,27,14,73,21,9,13,0,1015,0,0,
13/9/2021,20,14,29,12,67,20,8,15,0,1015,0,0,
14/9/2021,23,15,29,15,65,19,9,15,0,1016,0,0,
15/9/2021,23,17,27,16,67,19,7,11,0,1017,0,0,
16/9/2021,21,19,24,19,88,21,6,13,0,1015,0,0,pioggia 
17/9/2021,21,19,24,19,87,22,10,17,0,1011,0,0,
18/9/2021,20,16,24,17,87,22,6,9,0,1012,0,0,pioggia temporale 
19/9/2021,20,15,26,17,79,19,8,18,0,1010,0,0,
20/9/2021,20,16,24,16,82,19,11,17,0,1012,0,0,pioggia 
21/9/2021,18,15,21,15,81,21,9,17,0,1021,0,0,
22/9/2021,18,12,22,12,73,19,9,17,0,1022,0,0,
23/9/2021,17,12,24,12,72,19,9,15,0,1022,0,0,
24/9/2021,18,10,23,13,75,20,8,17,0,1018,0,0,
25/9/2021,19,13,25,16,83,21,8,15,0,1020,0,0,
26/9/2021,20,15,25,17,83,19,13,46,0,1019,0,0,pioggia temporale 
27/9/2021,19,17,21,16,84,13,9,15,0,1017,0,0,
28/9/2021,18,15,24,16,84,11,7,13,0,1019,0,0,
29/9/2021,19,14,25,15,78,20,7,17,0,1017,0,0,
30/9/2021,18,15,23,15,81,18,11,17,0,1021,0,0,pioggia 
