ETA,RESIDENTI_FEM,RESIDENTI_MAS
<1,32,26
1,42,38
2,54,42
3,34,45
4,41,52
5,48,60
6,43,41
7,35,57
8,38,35
9,57,46
10,42,50
11,42,40
12,38,68
13,50,55
14,49,46
15,43,53
16,41,46
17,36,61
18,51,66
19,46,57
20,35,49
21,50,51
22,43,53
23,37,68
24,57,50
25,59,66
26,61,44
27,52,55
28,56,45
29,54,60
30,55,52
31,49,55
32,34,41
33,60,69
34,68,44
35,52,59
36,55,58
37,52,64
38,64,43
39,70,53
40,63,60
41,48,63
42,67,59
43,66,57
44,65,57
45,68,66
46,77,71
47,77,78
48,87,86
49,74,60
50,76,78
51,78,81
52,86,77
53,71,68
54,94,94
55,78,92
56,89,68
57,92,78
58,76,81
59,61,69
60,66,55
61,61,72
62,71,69
63,69,50
64,50,60
65,47,67
66,55,49
67,69,50
68,50,38
69,55,46
70,56,40
71,51,40
72,54,33
73,44,38
74,55,35
75,48,42
76,55,29
77,37,26
78,45,26
79,42,23
80,52,31
81,48,24
82,40,29
83,54,28
84,42,28
85,38,15
86,44,18
87,35,20
88,34,14
89,26,8
90,19,13
91,20,8
92,18,6
93,18,2
94,11,4
>= 95,29,9
