age,gender,nationality
0,F,BANGLADESH
0,M,BANGLADESH
0,F,BANGLADESH
0,M,BULGARIA
0,F,INDONESIA
0,M,INDONESIA
0,F,ITALY
0,M,ITALY
0,M,NIGERIA
0,F,REPUBLIC OF THE CONGO
0,F,ROMANIA
0,F,SAN MARINO
0,F,SENEGAL
0,F,BANGLADESH
0,M,BANGLADESH
0,F,BANGLADESH
0,M,BULGARIA
0,F,INDONESIA
0,M,INDONESIA
0,F,ITALY
0,M,ITALY
0,M,NIGERIA
0,F,REPUBLIC OF THE CONGO
0,F,ROMANIA
0,F,SAN MARINO
0,F,SENEGAL
1,M,ALBANIA
1,M,ALBANIA
1,M,ALBANIA
1,M,ALBANIA
1,F,ALBANIA
1,M,ALBANIA
1,F,ALBANIA
1,M,BANGLADESH
1,M,BANGLADESH
1,F,BANGLADESH
1,M,CAMEROON
1,M,ECUADOR
1,M,GHANA
1,F,INDONESIA
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,KOSOVO
1,F,LIBYA
1,M,LIBYA
1,M,LIBYA
1,F,MEXICO
1,M,MEXICO
1,M,MEXICO
1,F,MOROCCO
1,F,MOROCCO
1,F,NIGERIA
1,F,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,F,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,F,NORTH MACEDONIA
1,M,NORTH MACEDONIA
1,M,NORTH MACEDONIA
1,F,PAKISTAN
1,M,PAKISTAN
1,F,PAKISTAN
1,F,POLAND
1,M,POPULAR REPUBLIC OF CHINA
1,M,POPULAR REPUBLIC OF CHINA
1,M,ROMANIA
1,F,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,F,ROMANIA
1,F,SVIZZERA
1,F,SVIZZERA
1,M,TANZANIA
1,F,TOGO
1,F,TOGO
1,M,TOGO
1,F,UKRAINE
1,M,ALBANIA
1,M,ALBANIA
1,M,ALBANIA
1,M,ALBANIA
1,F,ALBANIA
1,M,ALBANIA
1,F,ALBANIA
1,M,BANGLADESH
1,M,BANGLADESH
1,F,BANGLADESH
1,M,CAMEROON
1,M,ECUADOR
1,M,GHANA
1,F,INDONESIA
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,M,ITALY
1,M,ITALY
1,F,ITALY
1,F,ITALY
1,M,ITALY
1,F,ITALY
1,M,ITALY
1,M,KOSOVO
1,F,LIBYA
1,M,LIBYA
1,M,LIBYA
1,F,MEXICO
1,M,MEXICO
1,M,MEXICO
1,F,MOROCCO
1,F,MOROCCO
1,F,NIGERIA
1,F,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,F,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,F,NIGERIA
1,M,NIGERIA
1,M,NIGERIA
1,F,NORTH MACEDONIA
1,M,NORTH MACEDONIA
1,M,NORTH MACEDONIA
1,F,PAKISTAN
1,M,PAKISTAN
1,F,PAKISTAN
1,F,POLAND
1,M,POPULAR REPUBLIC OF CHINA
1,M,POPULAR REPUBLIC OF CHINA
1,M,ROMANIA
1,F,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,F,ROMANIA
1,M,ROMANIA
1,M,ROMANIA
1,F,ROMANIA
1,F,SVIZZERA
1,F,SVIZZERA
1,M,TANZANIA
1,F,TOGO
1,F,TOGO
1,M,TOGO
1,F,UKRAINE
2,M,ALBANIA
2,F,ALBANIA
2,F,ALBANIA
2,M,ALBANIA
2,F,ALBANIA
2,M,ALBANIA
2,M,ALBANIA
2,F,BANGLADESH
2,F,BANGLADESH
